study_id,genome_accession,current_status,genome_label,biosample,route,resolved_assembly,source_url,resolved_organism,strain_verified,note,collision,downloaded,bytes,new_status,promoted,scale,contigs,bases
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572194,absent,Salinispora pacifica CNS863,,strain_name,GCF_059570745.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/745/GCF_059570745.1_ASM5957074v1/GCF_059570745.1_ASM5957074v1_genomic.gbff.gz,Salinispora pacifica CNY498 (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora pacifica CNS863', not an accession -- review || WRONG STRAIN: asked for 'CNS863', assembly is 'Salinispora pacifica CNY498' -- not promoted || CONFLICT: assembly also matched by 2516493032, 2516653042, 2517287019, 2517287023, 2517434008, 2548876972, 2563366539, which names a different strain -- at most one is correct",2516493032|2516653042|2517287019|2517287023|2517434008|2548876972|2563366539,yes,14113795,sequence_ok,skipped_wrong_strain,isolate_scale,74,5455855
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572211,absent,Salinispora tropica CNB476,,strain_name,GCF_000515095.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/515/095/GCF_000515095.1_ASM51509v1/GCF_000515095.1_ASM51509v1_genomic.gbff.gz,Salinispora tropica CNB476 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora tropica CNB476', not an accession -- review",,yes,13304037,sequence_ok,promoted,isolate_scale,100,5239804
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572212,absent,Salinispora tropica CNB536,,strain_name,GCF_000515075.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/515/075/GCF_000515075.1_ASM51507v1/GCF_000515075.1_ASM51507v1_genomic.gbff.gz,Salinispora tropica CNB536 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora tropica CNB536', not an accession -- review",,yes,14161189,sequence_ok,promoted,isolate_scale,122,5552560
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572233,absent,Salinispora arenicola CNT859,,strain_name,GCF_000377605.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/377/605/GCF_000377605.1_ASM37760v1/GCF_000377605.1_ASM37760v1_genomic.gbff.gz,Salinispora arenicola CNT859 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNT859', not an accession -- review",,yes,14580343,sequence_ok,promoted,isolate_scale,74,5822487
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518285550,absent,Salinispora arenicola CNT849,,strain_name,GCF_000373825.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/373/825/GCF_000373825.1_ASM37382v1/GCF_000373825.1_ASM37382v1_genomic.gbff.gz,Salinispora arenicola CNT849 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNT849', not an accession -- review",,yes,14182195,sequence_ok,promoted,isolate_scale,51,5720436
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518285551,absent,Salinispora arenicola CNP105,,strain_name,GCF_000375045.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/045/GCF_000375045.1_ASM37504v1/GCF_000375045.1_ASM37504v1_genomic.gbff.gz,Salinispora arenicola CNP105 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNP105', not an accession -- review",,yes,14779049,sequence_ok,promoted,isolate_scale,69,5919675
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518285552,absent,Salinispora arenicola CNP193,,strain_name,GCF_000375025.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/025/GCF_000375025.1_ASM37502v1/GCF_000375025.1_ASM37502v1_genomic.gbff.gz,Salinispora arenicola CNP193 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNP193', not an accession -- review",,yes,14519305,sequence_ok,promoted,isolate_scale,79,5766351
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518285553,absent,Salinispora arenicola CNS051,,strain_name,GCF_000375005.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/005/GCF_000375005.1_ASM37500v1/GCF_000375005.1_ASM37500v1_genomic.gbff.gz,Salinispora arenicola CNS051 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNS051', not an accession -- review",,yes,14770019,sequence_ok,promoted,isolate_scale,93,5853040
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518285554,absent,Salinispora arenicola CNS744,,strain_name,GCF_000375065.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/065/GCF_000375065.1_ASM37506v1/GCF_000375065.1_ASM37506v1_genomic.gbff.gz,Salinispora arenicola CNS744 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNS744', not an accession -- review",,yes,14526732,sequence_ok,promoted,isolate_scale,89,5741573
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518285555,absent,Salinispora arenicola CNX481,,strain_name,GCF_000375085.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/085/GCF_000375085.1_ASM37508v1/GCF_000375085.1_ASM37508v1_genomic.gbff.gz,Salinispora arenicola CNX481 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNX481', not an accession -- review",,yes,14003693,sequence_ok,promoted,isolate_scale,73,5570975
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518285558,absent,Salinispora arenicola CNY231,,strain_name,GCF_000375145.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/145/GCF_000375145.1_ASM37514v1/GCF_000375145.1_ASM37514v1_genomic.gbff.gz,Salinispora arenicola CNY231 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNY231', not an accession -- review",,yes,14571123,sequence_ok,promoted,isolate_scale,69,5832889
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518285559,absent,Salinispora arenicola CNY256,,strain_name,GCF_000375165.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/165/GCF_000375165.1_ASM37516v1/GCF_000375165.1_ASM37516v1_genomic.gbff.gz,Salinispora arenicola CNY256 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNY256', not an accession -- review",,yes,14553940,sequence_ok,promoted,isolate_scale,79,5781119
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518285560,absent,Salinispora arenicola CNY260,,strain_name,GCF_000375185.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/185/GCF_000375185.1_ASM37518v1/GCF_000375185.1_ASM37518v1_genomic.gbff.gz,Salinispora arenicola CNY260 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNY260', not an accession -- review",,yes,14424725,sequence_ok,promoted,isolate_scale,63,5775769
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518285561,absent,Salinispora pacifica CNR942,,strain_name,GCF_000374665.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/374/665/GCF_000374665.1_ASM37466v1/GCF_000374665.1_ASM37466v1_genomic.gbff.gz,Salinispora fenicalii (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora pacifica CNR942', not an accession -- review || WRONG STRAIN: asked for 'CNR942', assembly is 'Salinispora fenicalii' -- not promoted || CONFLICT: assembly also matched by 2515154124, which names a different strain -- at most one is correct",2515154124,yes,13704144,sequence_ok,skipped_wrong_strain,isolate_scale,52,5473304
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518285563,absent,Salinispora pacifica CNS860,,strain_name,GCF_000374705.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/374/705/GCF_000374705.1_ASM37470v1/GCF_000374705.1_ASM37470v1_genomic.gbff.gz,Salinispora pacifica CNS860 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNS860', not an accession -- review",,yes,13537824,sequence_ok,promoted,isolate_scale,62,5357469
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518645624,absent,Salinispora tropica CNR699,,strain_name,GCF_000377065.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/377/065/GCF_000377065.1_ASM37706v1/GCF_000377065.1_ASM37706v1_genomic.gbff.gz,Salinispora tropica CNR699 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora tropica CNR699', not an accession -- review",,yes,14516042,sequence_ok,promoted,isolate_scale,124,5608799
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518645626,absent,Salinispora pacifica CNY330,,strain_name,GCF_000377025.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/377/025/GCF_000377025.1_ASM37702v1/GCF_000377025.1_ASM37702v1_genomic.gbff.gz,Salinispora pacifica CNY330 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNY330', not an accession -- review",,yes,14268767,sequence_ok,promoted,isolate_scale,138,5498479
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518645627,absent,Salinispora pacifica CNY331,,strain_name,GCF_000377045.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/377/045/GCF_000377045.1_ASM37704v1/GCF_000377045.1_ASM37704v1_genomic.gbff.gz,Salinispora pacifica CNY331 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNY331', not an accession -- review",,yes,15021078,sequence_ok,promoted,isolate_scale,170,5740370
297c364c-b154-4edd-a7d5-68decf9effa2.4,2519103185,absent,Salinispora arenicola CNS673,,strain_name,GCF_000373845.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/373/845/GCF_000373845.1_ASM37384v1/GCF_000373845.1_ASM37384v1_genomic.gbff.gz,Salinispora arenicola CNS673 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNS673', not an accession -- review",,yes,14746286,sequence_ok,promoted,isolate_scale,83,5875699
297c364c-b154-4edd-a7d5-68decf9effa2.4,2519103192,absent,Salinispora arenicola CNH877,,strain_name,GCF_000378645.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/378/645/GCF_000378645.1_ASM37864v1/GCF_000378645.1_ASM37864v1_genomic.gbff.gz,Salinispora arenicola CNH877 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNH877', not an accession -- review",,yes,14603220,sequence_ok,promoted,isolate_scale,93,5795920
297c364c-b154-4edd-a7d5-68decf9effa2.4,2519103193,absent,Salinispora arenicola CNH962,,strain_name,GCF_000378665.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/378/665/GCF_000378665.1_ASM37866v1/GCF_000378665.1_ASM37866v1_genomic.gbff.gz,Salinispora arenicola CNH962 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNH962', not an accession -- review",,yes,13764068,sequence_ok,promoted,isolate_scale,87,5434989
297c364c-b154-4edd-a7d5-68decf9effa2.4,2519103194,absent,Salinispora arenicola CNR107,,strain_name,GCF_000378685.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/378/685/GCF_000378685.1_ASM37868v1/GCF_000378685.1_ASM37868v1_genomic.gbff.gz,Salinispora arenicola CNR107 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNR107', not an accession -- review",,yes,14270746,sequence_ok,promoted,isolate_scale,48,5767406
297c364c-b154-4edd-a7d5-68decf9effa2.4,2519103195,absent,Salinispora arenicola CNY234,,strain_name,GCF_000380945.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/380/945/GCF_000380945.1_ASM38094v1/GCF_000380945.1_ASM38094v1_genomic.gbff.gz,Salinispora arenicola CNY234 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNY234', not an accession -- review",,yes,13844439,sequence_ok,promoted,isolate_scale,51,5569418
297c364c-b154-4edd-a7d5-68decf9effa2.4,2521172655,absent,Salinispora arenicola CNY282,,strain_name,GCF_000378705.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/378/705/GCF_000378705.1_ASM37870v1/GCF_000378705.1_ASM37870v1_genomic.gbff.gz,Salinispora arenicola CNY282 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNY282', not an accession -- review",,yes,14395896,sequence_ok,promoted,isolate_scale,67,5755139
297c364c-b154-4edd-a7d5-68decf9effa2.4,2524023246,absent,Salinispora arenicola CNH963,,strain_name,GCF_000424725.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/725/GCF_000424725.1_ASM42472v1/GCF_000424725.1_ASM42472v1_genomic.gbff.gz,Salinispora arenicola CNH963 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNH963', not an accession -- review",,yes,13680287,sequence_ok,promoted,isolate_scale,105,5440051
297c364c-b154-4edd-a7d5-68decf9effa2.4,2524614515,absent,Salinispora arenicola CNS243,,strain_name,GCF_000424885.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/885/GCF_000424885.1_ASM42488v1/GCF_000424885.1_ASM42488v1_genomic.gbff.gz,Salinispora arenicola CNS243 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNS243', not an accession -- review",,yes,14220694,sequence_ok,promoted,isolate_scale,70,5761551
297c364c-b154-4edd-a7d5-68decf9effa2.4,2524614529,absent,Salinispora arenicola CNS299,,strain_name,GCF_000424745.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/745/GCF_000424745.1_ASM42474v1/GCF_000424745.1_ASM42474v1_genomic.gbff.gz,Salinispora arenicola CNS299 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNS299', not an accession -- review",,yes,14194231,sequence_ok,promoted,isolate_scale,63,5746562
297c364c-b154-4edd-a7d5-68decf9effa2.4,2524614530,absent,Salinispora tropica CNT261,,strain_name,GCF_000424865.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/865/GCF_000424865.1_ASM42486v1/GCF_000424865.1_ASM42486v1_genomic.gbff.gz,Salinispora tropica CNT261 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora tropica CNT261', not an accession -- review",,yes,13917017,sequence_ok,promoted,isolate_scale,96,5510329
297c364c-b154-4edd-a7d5-68decf9effa2.4,2524614561,absent,Salinispora pacifica CNY239,,strain_name,GCF_000424925.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/925/GCF_000424925.1_ASM42492v1/GCF_000424925.1_ASM42492v1_genomic.gbff.gz,Salinispora pacifica CNY239 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNY239', not an accession -- review",,yes,13480823,sequence_ok,promoted,isolate_scale,88,5368602
297c364c-b154-4edd-a7d5-68decf9effa2.4,2524614807,absent,Salinispora pacifica CNS237|Salinispora pacifica CNT084|Salinispora pacifica CNT133|Salinispora pacifica CNT609|Salinispora pacifica CNY646,,strain_name,GCF_058448815.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/058/448/815/GCF_058448815.1_ASM5844881v1/GCF_058448815.1_ASM5844881v1_genomic.gbff.gz,Salinispora mooreana (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora pacifica CNS237', not an accession -- review || WRONG STRAIN: asked for 'CNS237', assembly is 'Salinispora mooreana' -- not promoted",,cached,13514769,sequence_ok,skipped_wrong_strain,isolate_scale,73,5210670
297c364c-b154-4edd-a7d5-68decf9effa2.4,2526164509,absent,Salinispora arenicola CNT799,,strain_name,GCF_000514035.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/035/GCF_000514035.1_ASM51403v1/GCF_000514035.1_ASM51403v1_genomic.gbff.gz,Salinispora arenicola CNT799 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNT799', not an accession -- review",,yes,13880958,sequence_ok,promoted,isolate_scale,58,5621489
297c364c-b154-4edd-a7d5-68decf9effa2.4,2526164712,absent,Salinispora tropica CNS416,,strain_name,GCF_000377085.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/377/085/GCF_000377085.1_ASM37708v1/GCF_000377085.1_ASM37708v1_genomic.gbff.gz,Salinispora tropica CNS416 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora tropica CNS416', not an accession -- review",,yes,13323544,sequence_ok,promoted,isolate_scale,95,5180643
297c364c-b154-4edd-a7d5-68decf9effa2.4,2526164782,absent,Streptomyces sp. CNP082,SAMN02745835,biosample,GCF_059570535.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/535/GCF_059570535.1_ASM5957053v1/GCF_059570535.1_ASM5957053v1_genomic.gbff.gz,Streptomyces sp. CNP082 (high G+C Gram-positive bacteria),,,,yes,21521679,sequence_ok,promoted,isolate_scale,149,8447812
297c364c-b154-4edd-a7d5-68decf9effa2.4,2528311033,absent,Salinispora arenicola CNR425,,strain_name,GCF_000482565.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/482/565/GCF_000482565.1_ASM48256v1/GCF_000482565.1_ASM48256v1_genomic.gbff.gz,Salinispora arenicola CNR425 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNR425', not an accession -- review",,yes,14134992,sequence_ok,promoted,isolate_scale,70,5705881
297c364c-b154-4edd-a7d5-68decf9effa2.4,2528311034,absent,Salinispora pacifica CNY202,,strain_name,GCF_000484695.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/484/695/GCF_000484695.1_ASM48469v1/GCF_000484695.1_ASM48469v1_genomic.gbff.gz,Salinispora cortesiana (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora pacifica CNY202', not an accession -- review || WRONG STRAIN: asked for 'CNY202', assembly is 'Salinispora cortesiana' -- not promoted",,yes,13658140,sequence_ok,skipped_wrong_strain,isolate_scale,204,5183058
297c364c-b154-4edd-a7d5-68decf9effa2.4,2540341192,absent,Salinispora tropica CNY012,,strain_name,GCF_000620325.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/620/325/GCF_000620325.1_ASM62032v1/GCF_000620325.1_ASM62032v1_genomic.gbff.gz,Salinispora tropica CNY012 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora tropica CNY012', not an accession -- review",,yes,13860603,sequence_ok,promoted,isolate_scale,154,5369729
297c364c-b154-4edd-a7d5-68decf9effa2.4,2540341193,absent,Salinispora tropica CNT250,,strain_name,GCF_000620345.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/620/345/GCF_000620345.1_ASM62034v1/GCF_000620345.1_ASM62034v1_genomic.gbff.gz,Salinispora tropica CNT250 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora tropica CNT250', not an accession -- review",,yes,12928573,sequence_ok,promoted,isolate_scale,59,5170212
297c364c-b154-4edd-a7d5-68decf9effa2.4,2548876909,absent,Salinispora arenicola CNT088,,strain_name,GCF_059570735.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/735/GCF_059570735.1_ASM5957073v1/GCF_059570735.1_ASM5957073v1_genomic.gbff.gz,Salinispora arenicola CNS820 (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora arenicola CNT088', not an accession -- review || WRONG STRAIN: asked for 'CNT088', assembly is 'Salinispora arenicola CNS820' -- not promoted || CONFLICT: assembly also matched by 2516143022, 2565956528, 2814122978, 641228504, GCF_000018265.1, which names a different strain -- at most one is correct",2516143022|2565956528|2814122978|641228504|GCF_000018265.1,yes,14362184,sequence_ok,skipped_wrong_strain,isolate_scale,66,5606043
297c364c-b154-4edd-a7d5-68decf9effa2.4,2548876972,absent,Salinispora pacifica CNS143,,strain_name,GCF_059570745.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/745/GCF_059570745.1_ASM5957074v1/GCF_059570745.1_ASM5957074v1_genomic.gbff.gz,Salinispora pacifica CNY498 (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora pacifica CNS143', not an accession -- review || WRONG STRAIN: asked for 'CNS143', assembly is 'Salinispora pacifica CNY498' -- not promoted || CONFLICT: assembly also matched by 2516493032, 2516653042, 2517287019, 2517287023, 2517434008, 2517572194, 2563366539, which names a different strain -- at most one is correct",2516493032|2516653042|2517287019|2517287023|2517434008|2517572194|2563366539,yes,14113795,sequence_ok,skipped_wrong_strain,isolate_scale,74,5455855
297c364c-b154-4edd-a7d5-68decf9effa2.4,2558860985,absent,Streptomyces sp. CNX435,SAMN02745430,biosample,GCF_059570575.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/575/GCF_059570575.1_ASM5957057v1/GCF_059570575.1_ASM5957057v1_genomic.gbff.gz,Streptomyces sp. CNX435 (high G+C Gram-positive bacteria),,,,yes,20541014,sequence_ok,promoted,isolate_scale,68,8151430
297c364c-b154-4edd-a7d5-68decf9effa2.4,2561511034,absent,Salinispora pacifica CNT403,,unresolved,,,,,no assembly found for Salinispora pacifica CNT403,,,,no_route,skipped_not_sequence,,,
297c364c-b154-4edd-a7d5-68decf9effa2.4,2561511036,absent,Salinispora pacifica CNS801,,strain_name,GCF_059569615.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/569/615/GCF_059569615.1_ASM5956961v1/GCF_059569615.1_ASM5956961v1_genomic.gbff.gz,Salinispora vitiensis (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora pacifica CNS801', not an accession -- review || WRONG STRAIN: asked for 'CNS801', assembly is 'Salinispora vitiensis' -- not promoted",,yes,12900178,sequence_ok,skipped_wrong_strain,isolate_scale,39,4969155
297c364c-b154-4edd-a7d5-68decf9effa2.4,2561511038,absent,Salinispora pacifica CNR909,,strain_name,GCF_059569695.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/569/695/GCF_059569695.1_ASM5956969v1/GCF_059569695.1_ASM5956969v1_genomic.gbff.gz,Salinispora pacifica CNR909 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNR909', not an accession -- review",,yes,14317818,sequence_ok,promoted,isolate_scale,112,5455852
297c364c-b154-4edd-a7d5-68decf9effa2.4,2561511039,absent,Salinispora arenicola CNQ884,,strain_name,GCF_059569595.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/569/595/GCF_059569595.1_ASM5956959v1/GCF_059569595.1_ASM5956959v1_genomic.gbff.gz,Salinispora arenicola CNQ884 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNQ884', not an accession -- review",,yes,15059870,sequence_ok,promoted,isolate_scale,106,5838486
297c364c-b154-4edd-a7d5-68decf9effa2.4,2561511103,absent,Salinispora arenicola CNY281,,unresolved,,,,,no assembly found for Salinispora arenicola CNY281,,,,no_route,skipped_not_sequence,,,
297c364c-b154-4edd-a7d5-68decf9effa2.4,2561511104,absent,Salinispora arenicola CNH996,,strain_name,GCF_000702345.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/702/345/GCF_000702345.1_ASM70234v1/GCF_000702345.1_ASM70234v1_genomic.gbff.gz,Salinispora arenicola (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora arenicola CNH996', not an accession -- review || WRONG STRAIN: asked for 'CNH996', assembly is 'Salinispora arenicola' -- not promoted",,yes,14887351,sequence_ok,skipped_wrong_strain,isolate_scale,151,5857846
297c364c-b154-4edd-a7d5-68decf9effa2.4,2561511105,absent,Salinispora arenicola CNH718,,strain_name,GCF_059569755.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/569/755/GCF_059569755.1_ASM5956975v1/GCF_059569755.1_ASM5956975v1_genomic.gbff.gz,Salinispora arenicola CNH718 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNH718', not an accession -- review",,yes,13870456,sequence_ok,promoted,isolate_scale,54,5449370
297c364c-b154-4edd-a7d5-68decf9effa2.4,2561511107,absent,Salinispora arenicola CNY486,,strain_name,GCF_059570075.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/075/GCF_059570075.1_ASM5957007v1/GCF_059570075.1_ASM5957007v1_genomic.gbff.gz,Salinispora arenicola CNY486 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNY486', not an accession -- review",,yes,14755798,sequence_ok,promoted,isolate_scale,113,5680170
297c364c-b154-4edd-a7d5-68decf9effa2.4,2561511108,absent,Salinispora tropica CNY681,,strain_name,GCF_059570555.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/555/GCF_059570555.1_ASM5957055v1/GCF_059570555.1_ASM5957055v1_genomic.gbff.gz,Salinispora tropica CNY681 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora tropica CNY681', not an accession -- review || CONFLICT: assembly also matched by 640427140, which names a different strain -- at most one is correct",640427140,yes,12929997,sequence_ok,promoted,isolate_scale,56,4996884
297c364c-b154-4edd-a7d5-68decf9effa2.4,2561511109,absent,Salinispora tropica CNY678,,strain_name,GCF_059570015.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/015/GCF_059570015.1_ASM5957001v1/GCF_059570015.1_ASM5957001v1_genomic.gbff.gz,Salinispora tropica CNY678 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora tropica CNY678', not an accession -- review",,yes,13295498,sequence_ok,promoted,isolate_scale,76,5107079
297c364c-b154-4edd-a7d5-68decf9effa2.4,2561511110,absent,Salinispora arenicola CNY244,,strain_name,GCF_059570155.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/155/GCF_059570155.1_ASM5957015v1/GCF_059570155.1_ASM5957015v1_genomic.gbff.gz,Salinispora arenicola CNY244 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNY244', not an accession -- review",,yes,13960150,sequence_ok,promoted,isolate_scale,41,5497013
297c364c-b154-4edd-a7d5-68decf9effa2.4,2561511111,absent,Salinispora arenicola CNY690,,strain_name,GCF_059570215.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/215/GCF_059570215.1_ASM5957021v1/GCF_059570215.1_ASM5957021v1_genomic.gbff.gz,Salinispora arenicola CNY690 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNY690', not an accession -- review",,yes,15494359,sequence_ok,promoted,isolate_scale,155,5877395
297c364c-b154-4edd-a7d5-68decf9effa2.4,2561511112,absent,Streptomyces sp. CNQ525,SAMN02841146,biosample,GCF_000701285.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/701/285/GCF_000701285.1_ASM70128v1/GCF_000701285.1_ASM70128v1_genomic.gbff.gz,Streptomyces sp. CNQ-525 (high G+C Gram-positive bacteria),,,,yes,20971958,sequence_ok,promoted,isolate_scale,76,8645224
297c364c-b154-4edd-a7d5-68decf9effa2.4,2561511113,absent,Salinispora arenicola CNY679,,strain_name,GCF_059570135.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/135/GCF_059570135.1_ASM5957013v1/GCF_059570135.1_ASM5957013v1_genomic.gbff.gz,Salinispora arenicola CNY679 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNY679', not an accession -- review",,yes,14760006,sequence_ok,promoted,isolate_scale,76,5760922
